Address,Voi,Algo,Total
SOSETPR3BAD3HHHUBXFQ52NKNNFBZGTBRA32MMVAYX3XCUKWGISVIM2WDE,0,23719.57133,23719.57133
R3I5LMKYFC26FY5AGBEYRDXACCXRKZFJEZSV6KZBRSM7B467ZWIM5HJJDQ,0,23719.03051,23719.03051
T3OUWKMTH57BPAQX6MBDXRW7TM6Q7EKDMDGE4ZRJ6KZVQ36GCRURDMTYFA,0,23708.67539,23708.67539
JPVE5Y6AQ4V5T36BPDGZ3PDSXXBQPVABK3RVYE5JUXZQIMWJWNFGSNMOOI,0,23707.00295,23707.00295
WK4EQEAFATW6MXH37S5PLJ5DTD34SGFVIOU3RMQXSFV6RYDAB4BN7IBOKI,0,23706.02085,23706.02085
L7RF6SLJVI4YSKNRGYBMXVQUVXWRPEEJMXJBTCTYMVGCZGU7P7GM6UUTY4,0,23698.08176,23698.08176
7XKG4O2I3QYUAOT5CPMWZWXGCPFLWUWVMNZ3NTYIFHW2JAHFQHQR6SHNQM,0,23686.86616,23686.86616
FXB5AMXEIB4223BYUF2OONPOQ5W7UUEDSUANBZAKYYSIKISCCC7T3ZYLNQ,0,23650.47138,23650.47138
T32OMX73C7IKNJBWT7SBVSYJC6DMSWRPONOQKTYJPDEIG2OO6MIK5ZBLQA,0,23646.81383,23646.81383
ITDYBTEGOKYICCX46OX3SXZVUYX5PKMPQEIEVWKCDDC5SBRWNCNIOJ5ILU,0,23630.2245,23630.2245
MKGELCNOV23RHCJYJQ3CULH5NUOYWF54LCGZNMTSG4BEXLXQL3YITWPSCI,0,23624.30448,23624.30448
L3F5BRTVMKJEEDQBAZTWTC2AZVLQFK22QCYI7TI5TSB3Q427XZNL4QSCHU,0,23609.42882,23609.42882
2NEDCHGI7KJHPUDVEYC7433KT54TASWB3IFHHNSV2R3LSP6EGDVHBT4FLE,0,23603.14968,23603.14968
X5H6O5HDSZRESTAKKA7WJCIMLAOEAMHRYMFIX5AX4F6RRUB6KAYAQR274Q,0,23602.8058,23602.8058
EZUCSKZUD4ONUUUZI7XVTSZZTN5CG7FSODV4J2ZWAJXZRROS7CAMDJKFAU,0,23600.24156,23600.24156
M7EPGO2NLJHY5QBE6RKUO6VZVFUZSYEHPRT5CLNFRXAJN54BZC2WIRMIFE,0,23598.76932,23598.76932
CUINNC4I3SMSQOJWWOBXYMVGA65OASCCV7FJ2GS6YJW2D3DHI2SHXOLGPM,0,23580.6694,23580.6694
ZK5G2SG66MWZVZLT2YLXT6YLYUTNJV6YMQ67SV3B4YAOVBPIUSLYHHZZJU,0,23576.75448,23576.75448
BJSY3WMQYUEZ6JXAFD3DRH4LTYYBNIQZSDR56ECUCWPUOQAQIGI77UT5ZM,0,23574.23153,23574.23153
